S_1,C1_Sae1,C1_Sae2,mm,Conductor,Flute_1,Flute_2,Oboe_1,Oboe_2,Clarinet_1,Clarinet_2,Bassoon_1,Bassoon_2,Horn_1,Horn_2,Horn_3,Horn_4,Trumpet_1,Trumpet_2,Trumpet_3,Trombone_1,Trombone_2,Trombone_Bass,Tuba,Perc_Tympani,Perc_Batt,Perc_GC,Harp,Vn_solo,Violin_1,Violin_2,Va_solo,Viola,Vc_Solo,Cello,Contrabass,RD_Sae1,RD_Sae2,RR_Saev
360.825396825,359.825396825,350.0670294780610,114.5,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,351.98594104268700,334.458321995068,321.98539682500000
361.848888889,360.848888889,351.0437188209730,115.0,,,,,,0.0,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,353.0094331066870,335.4818140590680,322.79827664410200
362.115555556,361.115555556,351.31038548797300,115.13,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,0.0,353.2760997736870,335.74848072606800,323.06494331110200
363.961904762,362.961904762,353.08653061234000,116.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,355.0288435375100,337.4076190477140,324.8878911565580
364.241269841,363.241269841,353.36589569134000,116.13,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,355.3082086165100,337.68698412671400,325.16725623555800
366.04952381,365.04952381,355.1039455787080,117.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,357.093061224966,339.44843537462600,326.9521088440140
366.313650794,365.313650794,355.36807256270800,117.13,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,,357.357188208966,339.66575963753700,327.2162358280140
368.142222222,367.142222222,357.1264399090750,118.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,359.16235827642200,341.4241269839050,328.9043990927480
369.198730159,368.198730159,358.11274376444200,118.5,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,360.2188662134220,342.48063492090500,329.79709750593900
369.757460317,368.757460317,358.67147392244200,118.75,,,,1.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,360.7541950108780,342.9223582761840,330.3558276639390
370.300226757,369.300226757,359.1674376413540,119.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,361.27356009033300,343.41832199509500,330.8985941039390
372.416507937,371.416507937,361.2135147397210,120.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.3664399097890,345.4409977329180,332.91401360544200
372.947301587,371.947301587,361.7209070291770,120.25,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,363.89723355978900,345.9717913829180,333.4286621312180
374.491428571,373.491428571,363.1953741496600,121.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,365.3945578227010,347.39891156419700,334.87918367304100
376.573968254,375.573968254,365.2071655329120,122.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.4302947846120,349.36444444447600,336.82131519277500
377.655873016,376.655873016,366.2422675738230,122.5,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.51219954661200,350.39954648538800,337.8798185942310
378.214603175,377.214603175,366.7775963722790,122.75,,,,0.0,0.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,0.0,,,,,,,,,369.07092970561200,350.8880725627550,338.43854875323100
379.093333333,378.093333333,367.6095238091900,123.13,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,369.9028571425240,351.76680272075500,339.20027210851000
381.174421769,380.174421769,369.59700680301400,124.13,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,371.98394557852400,353.7074829934900,341.1877551023330
