C5,mm,mm_original,RehNo,Structure,Theme,Conductor,Flute_1,Flute_2,Oboe_1,Oboe_2,Clarinet_1,Clarinet_2,Bassoon_1,Bassoon_2,Horn_1,Horn_2,Horn_3,Horn_4,Trumpet_1,Trumpet_2,Trumpet_3,Trombone_1,Trombone_2,Trombone_Bass,Tuba,Perc_Tympani,Perc_Batt,Perc_GC,Harp,Vn_solo,Violin_1,Violin_2,Va_solo,Viola,Vc_Solo,Cello,Contrabass
186.4906667,82.125,132.13,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
186.7433333,82.25,132.25,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
187.696,82.75,132.75,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,
190.6173333,84.125,134.13,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
190.8786667,84.25,134.25,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
191.9173333,84.75,134.75,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,
192.4706667,85,135.00,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,
192.7433333,85.125,135.13,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,0,,,,,,,,,,,,,
194.5293333,86,136.00,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
194.7533333,86.125,136.13,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
195.0633333,86.25,136.25,,,,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,,,,,,,,,,,,,
196.074,86.75,136.75,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,
196.618,87,137.00,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,
196.8513333,87.125,137.13,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
199.3773333,88.375,138.38,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
200.2206667,88.75,138.75,,T1,b,,0,0,,,,,,,1,1,1,1,,,,0,0,0,1,,,,,,,,,,,,
200.7226667,89,139.00,16.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201.0166667,89.125,139.13,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
201.2533333,89.25,139.25,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,
202.272,89.75,139.75,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
202.7466667,90,140.00,,,,,,,,,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,
203.008,90.125,140.13,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
203.582,90.375,140.38,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
204.4046667,90.75,140.75,,,,,,,,,,,,,,,,,,0,0,,,0,1,,,,,,,,,,,,
205.1993333,91.125,141.13,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
205.506,91.25,141.25,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,
206.5313333,91.75,141.75,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
207.086,92,142.00,,,,,,,,,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,
207.3186667,92.125,142.13,,,,,,,,,,,,,,,,,1,,,,,,0,,1,,,,,,,,,,
208.636,92.75,142.75,,,e,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209.1466667,93,143.00,,,,,,,,,,,,,,,,,0,,,,,,1,0,,,,,,,,,,,
212.252,94.5,144.50,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,
216.9253333,96.75,146.75,,T2,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217.5393333,97,147.00,17.00,,,,0,0,0,0,0,0,,,,,,,,0,0,1,1,1,1,,0,1,,,,,,,,,
217.78,97.125,147.13,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
219.5933333,98,148.00,,,,,,,,,,,,,1,1,1,1,,1,1,,,,,,,,,1,1,1,1,1,,,
220.0186667,98.25,148.25,,,,,1,1,1,1,1,1,0,0,,,,,,,,0,0,0,0,1,1,0,,,,,,,1,1,1
220.6486667,98.5,148.50,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
221.6786667,99,149.00,,,,,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,1,1,1,1,0,,1,,0,0,0,0,0,0,0,0
223.72,100,150.00,,,,,,,,,,,,,1,1,1,1,,1,1,,,,,,,,,1,1,1,1,1,,,
224.208,100.25,150.25,,,,,1,1,1,1,1,1,0,0,,,,,,,,0,0,0,0,1,1,0,,,,,,,1,1,1
225.288,100.75,150.75,,T1,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225.79,101,151.00,,,,,0,0,,,,,1,1,,,,,,,,1,,1,,,,1,,,,,,,,,
