S_1,RehNo,Structure,Theme,mm,Conductor,Flute_1,Flute_2,Oboe_1,Oboe_2,Clarinet_1,Clarinet_2,Bassoon_1,Bassoon_2,Horn_1,Horn_2,Horn_3,Horn_4,Trumpet_1,Trumpet_2,Trumpet_3,Trombone_1,Trombone_2,Trombone_Bass,Tuba,Perc_Tympani,Perc_Batt,Perc_GC,Harp,Vn_solo,Violin_1,Violin_2,Va_solo,Viola,Vc_Solo,Cello,Contrabass,C1_Sae1,C1_Sae2,RD_Sae1,RD_Sae2,RR_Saev
157.1047619,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,156.1047619,153.3434013557820,151.12027210408200,145.29333332857100,135.69877550544200
157.422585,,,,34.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.422585,153.70802717687100,151.43809520408200,145.61115642857100,136.0165986054420
157.8318367,,,,34.25,,,,,,1.0,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,156.8318367,154.11727887687100,151.8473469040820,146.0204081285710,136.42585030544200
158.2062585,,,,34.375,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,157.2062585,154.49170067687100,152.22176870408200,146.39482992857100,136.84707482653100
160.0667574,,,,35.0,,,,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,0.0,,159.0667574,156.35219957687100,154.08226760408200,148.27873018911600,138.7075737265310
160.3570068,,,,35.125,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,159.3570068,156.64244897687100,154.37251700408200,148.56897958911600,138.9978231265310
160.6878912,,,,35.25,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,159.6878912,156.97333337687100,154.70340140408200,148.89986398911600,139.3287075265310
162.8990023,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,161.8990023,159.18444447687100,156.79537414966000,151.06417236802700,141.5398186265310
164.9284354,,3:4,c,36.75,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,163.9284354,161.21387757687100,158.80353744081600,153.09360546802700,143.61605444761900
165.8383673,4.0,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.8383673,162.10040811632700,159.69714285714300,153.98013600748300,144.52598634761900
166.3129252,,,,37.167,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,165.3129252,162.57496601632700,160.09442179863900,154.45469390748300,144.97714288707500
166.6960544,,,,37.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,165.6960544,162.9346938557820,160.46938775510200,154.7208163047620,145.21170068027200
169.9352381,,,,38.67,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,168.9352381,166.08027211360500,163.69333333809500,157.58557823605400,148.03782313401400
172.8,,,,39.67,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,171.8,169.1322448979590,166.55809523809500,160.1461224489800,150.6174149659860
173.4791837,,,d,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.4791837,169.8582313190480,167.23727893809500,160.77850342789100,151.06693880204100
183.814966,,,,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,182.814966,180.0770068163270,177.3624489931970,170.31863946938800,160.18585035374100
186.7697052,,,a,44.33,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,185.7697052,182.39990928163300,180.3171881931970,172.40408163265300,162.36834465578200
204.78839,,T1 4:4,b,50.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,203.78839,197.11900224489800,197.77424034013600,186.91600904761900,177.27156462585000
205.6097959,5.0,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.6097959,197.79999998163300,198.59564624013600,187.73741494761900,177.60462583197300
208.9070295,,,,54.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.9070295,201.0036281394560,201.89287984013600,190.89424038435400,180.43383222108800
217.1646259,,,e,54.75,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,216.1646259,209.2612245394560,209.47183678435400,198.87102045782300,188.12979596802700
218.3314286,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,217.3314286,210.42802723945600,210.56843540272100,199.73360547074800,189.1561905047620
221.0655782,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,220.0655782,213.02176867619000,212.99836731564600,202.37414962857100,191.82013602312900
228.345034,,T1,b,58.75,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,1.0,,,,227.345034,220.0906122312930,220.13741495238100,209.53659862585000,198.5145578095240
229.2680272,6.0,,,59.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,0.0,228.2680272,221.1072108734690,221.06040815238100,210.45959182585000,199.3907482884350
237.9580952,,,,62.13,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,236.9580952,229.63346934966000,229.77387751292500,218.77523805714300,207.30857139047600
239.5254422,,,e,62.75,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.0,0.0,,,,238.5254422,231.20081634966000,231.34122451292500,220.24897961496600,208.852517029932
240.4484354,,,,63.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,239.4484354,232.12380954966000,232.26421771292500,221.05496601224500,209.70530614829900
242.9561905,,,,64.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,241.9561905,234.5847619285710,234.74857145238100,223.4457143095240,211.95564628231300
249.7480272,,T2,f,66.75,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,1.0,1.0,,,,248.7480272,241.119183662585,241.68081631564600,229.4419047510200,218.0922448870750
250.4359184,7.0,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.4359184,241.807074862585,242.36870751564600,230.12979595102000,218.78013608707500
251.6462585,,,,67.5,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,250.6462585,243.01741496258500,243.6258503367350,231.3401360510200,219.90884353741500
267.6331973,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,266.6331973,258.7235374360540,259.7765986605440,246.4144217897960,234.745306122449
269.6185034,,T1,b,74.75,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,268.6185034,260.7322448965990,261.85551020272100,248.2827210870750,236.65224489659900
270.315102,8.0,,,75.0,,,,,,1.0,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,269.315102,261.42884349659900,262.5521088027210,248.97931968707500,237.3020407755100
277.6642177,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,276.6642177,268.80136055714300,269.99482994489800,255.95401361836700,244.34693878843500
278.2737415,,,,78.25,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,277.2737415,269.4108843571430,270.604353744898,256.5635374183670,244.86285714625900
279.562449,,,e,78.75,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.0,0.0,,,,278.562449,270.6995918571430,271.893061244898,257.78204083673500,246.10476192517000
280.2416327,,,,79.0,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,279.2416327,271.3787755571430,272.57224494489800,258.46122453673500,246.7839456251700
289.2277551,,T2,f,82.75,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,288.2277551,280.0606802700680,281.46476190272100,266.81551020204100,255.16163265102000
289.8546939,9.0,,,83.0,,,,,,1.0,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,288.8546939,280.66421770952400,282.0917007027210,267.4424490020410,255.7885714510200
290.4990476,,,,83.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,289.4990476,281.2851700489800,282.73605440272100,267.9931972598640,256.26911562721100
298.7189116,,,f,86.75,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.7189116,289.3646258857140,290.65170071564600,275.6982313278910,263.8337415319730
299.4851701,,,,87.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,298.4851701,290.10748302517000,291.3477551340140,276.4410884673470,264.4595918687080
308.2819048,,T1,b,90.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.2819048,298.88081636462600,299.93387758911600,284.7697959564630,272.6244898340140
308.8304762,10.0,,,91.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,307.8304762,299.42938776462600,300.48244898911600,285.3183673564630,273.17306123401400
311.1974603,,,,92.0,,,,,,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,310.1974603,301.72616778299300,302.779229007483,287.52154193265300,275.3762358102040
313.6050794,,,,93.0,,,,,,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,312.6050794,304.0167800802720,305.13659863945600,289.8355555904760,277.62004538639500
315.9111111,,,,94.0,,,,,,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,314.9111111,306.2994104197280,307.42267572585000,292.11818592993200,279.8324716442180
317.7777778,,,e,94.75,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,316.7777778,308.0958730380950,309.21913834421800,293.79764174557800,281.44172337823100
318.3314286,,,,95.0,,1.0,1.0,,,,,0.0,0.0,0.0,,,,,,,,,,,1.0,,,0.0,,,,,,1.0,1.0,,317.3314286,308.6495238380950,309.77278914421800,294.35129254557800,281.99537417823100
