,Resp_wave,ACCVert,ACCLat,ACCLong,Jerk
-12.72,501.0,-842.3668999999285,-372.0089749998033,250.36689999992848,8.956078021319874
-12.68,501.0350487179473,-843.3668999999373,-371.0,258.6079250001096,9.150515444861568
-12.64,501.94082750000103,-845.2662000001111,-365.36689999994445,257.0,9.70544704854505
-12.6,501.0606897435896,-845.3765333335501,-364.68826666677506,254.63310000004066,9.145469461391155
-12.56,502.0,-844.2589749999694,-372.89207499998054,254.0,9.819883524924567
-12.52,502.1119717948694,-839.8560999999867,-374.0,256.14390000001333,9.896525080806633
-12.48,503.0,-842.7589749998076,-371.60792500012246,252.39207499987754,9.625882087587797
-12.44,503.16068974358865,-840.2998250000558,-372.70017499994424,254.7660250002045,9.716941858791932
-12.4,504.18633076923,-842.0,-356.4662000001345,255.7170749998823,9.746869381671683
-12.36,505.2119717948714,-850.0,-363.26689999994164,260.73310000005836,10.265081702833552
-12.32,506.0,-850.0,-364.26689999994875,256.21707499991027,11.256258532163908
-12.28,506.0,-842.9670749999258,-365.76777499979863,254.0,11.782391864923756
-12.24,506.0,-851.2508749998676,-377.0515749997618,256.4501749999735,11.75661284033742
-12.2,506.0,-849.7331000000264,-366.19930000007923,250.0,11.713092297247908
-12.16,505.66069309463063,-839.0,-375.7829250000338,247.2668999999807,10.803531844974632
-12.120000000000001,505.0,-840.3748250000291,-365.1668999999613,251.8331000000387,10.499193499814721
-12.08,505.3888948717945,-841.3751749999315,-359.8331000000914,250.83310000009143,10.280288600405427
-12.04,505.5854641025641,-846.1668999999174,-371.0,250.29207499985554,9.885432047990202
-12.0,505.0,-848.8331000000754,-368.16689999992457,256.04207499986796,9.963444615393584
-11.96,504.5598230769248,-843.8331000000684,-369.1668999999317,254.0,10.258126538071412
-11.92,504.0,-845.1668999999406,-367.83310000005946,255.54207499989596,9.653432708158906
-11.879999999999999,504.0,-850.5006999998483,-367.0,253.83310000005056,9.131810700166591
-11.84,504.0,-841.9339749999508,-361.13379999996425,251.8670749999687,9.322825058665746
