,AU807,AU805,AU802,AU806,AU812,AU803,AU808,AU813,AU814,AU811,AU804,AU810,AU809,AU801,AU815
-11.84,462.1418923076872,506.0866899999925,526.0,510.0,507.0,520.0991692307645,505.0350487179465,497.07777179487204,534.3521487179482,494.53504871794644,478.1606717948763,503.0,528.0,524.7777179487258,504.0
-11.8,464.09658717948497,510.3931923076864,526.2017153846131,510.0,507.0,523.6512999999932,506.0,496.05213076923064,536.4034307692261,495.56068974358783,477.0546948717971,503.0,528.0,514.3734384615437,504.0
-11.76,465.1222282051264,515.5213974358933,527.2273564102545,510.0,507.0,526.7282230769173,505.9158275000015,496.9735102564079,538.6820692307634,496.5863307692292,475.0581076923113,503.0,527.316233333335,503.09138717948883,504.0
-11.72,466.29573846153545,520.9795230769199,528.0,510.6888948717948,507.0,529.8005294117611,505.08633076923013,496.0008487179509,541.2529974358958,498.22394358974105,474.00341282051426,503.0,526.2905923076946,492.20763846154193,504.591458974357
-11.68,468.3470205128182,527.4889307692295,528.2786384615372,511.0,507.0,532.8743769230751,506.0,497.0,542.0,499.6376128205119,473.0,502.7444384615398,524.5299025641066,482.9768692307907,505.61709999999846
-11.64,470.1991512820504,535.0496205128129,529.0,511.0,507.0,535.9512999999992,505.86238717948754,497.0,542.0,501.3265076923065,472.977771794872,502.28120256410153,523.239310256412,474.0466200000148,507.28548205127953
-11.6,471.2247923076918,543.6615923076707,529.0,511.76581794871595,507.7042794871783,538.3521487179488,505.1632538461513,497.0504333333328,541.6709232736576,502.6888948717947,472.0,503.0,521.4273384615411,466.24696666667415,509.33676410256226
-11.56,472.7512999999995,552.8923615384427,528.6444384615388,512.0,508.0,541.105146153841,506.0,498.07607435897415,540.6470025641032,503.714535897436,472.0,502.6675153846157,520.1880282051292,459.6196282051319,512.0820692307674
-11.52,475.27607435897374,561.6650051281914,528.0,512.8170999999986,508.0,542.0,506.0,499.0,539.2427230769275,504.7382838874668,472.09915128204915,502.0,518.3247743589757,454.4914230769251,515.8712941176395
-11.48,476.60343076922595,570.3538999999874,528.0,513.84274102564,508.7812025641024,541.2470025641044,505.75982307692465,499.127356410254,537.1914410256448,505.76325384615234,473.0,502.0,517.1389539641967,449.6905743589748,520.7137051281941
-11.44,478.98206923076316,579.0752615384531,527.5686214833779,514.0,509.0,539.4816550000021,505.2658179487167,500.15260613810545,535.140158974362,506.0,473.295738461537,502.4094076923055,515.227338461543,445.9410076923101,525.841910256401
-11.4,481.3529974358957,587.2694424552398,527.0,514.8940230769227,509.0,535.8854461538485,506.0,501.35214871794653,533.0888769230793,506.0,475.34702051281954,502.5649512820532,514.0880282051302,442.8640846153916,532.558161538451
-11.36,482.75727692307413,594.9068794871697,527.0,515.896672499998,509.0,531.782882051283,506.0,503.0,531.0375948717966,505.15982307692354,477.3983025641023,502.46068974358815,512.171655000002,440.191441025645,541.1925524999939
-11.32,484.3941724999992,602.6701333333144,527.4941724999998,515.0803358974379,509.0,526.8503974358972,505.6572589743592,503.0,528.479469230771,505.0,479.4495846153836,503.0,511.06238717948787,437.7102384615435,549.5573128205107
