,Resp_wave,ACCVert,ACCLat,ACCLong,Jerk
274.927,481.45812564102437,-1002.0,-243.60069999991865,-164.53240000010848,24.6285866458353
274.967,482.0,-929.7337999998889,-236.86689999994445,-179.88397499984728,25.24144177550259
275.007,482.5094076923067,-901.0,-237.86689999997287,-152.13310000002713,25.135582770867252
275.047,484.0407431421427,-917.0,-242.8669000000013,-177.51707500000228,27.75240566160227
275.087,485.5324846153822,-955.9079250001138,-261.46620000013,-219.37412500024377,27.535270203775422
275.127,487.11625128204815,-927.3758749996745,-261.93240000034723,-199.32342500058593,28.127145993939727
275.167,489.167533333329,-916.5337999997696,-265.2331000001152,-230.23310000011523,30.72105473555773
275.207,491.8282230769192,-904.4772749991537,-279.4662000001736,-317.1695750020182,32.81950047655054
275.247,495.5401948717931,-890.3006999998248,-292.0734250003941,-247.30069999982484,30.706963412030735
275.287,498.9820692307661,-894.2331000000868,-312.3006999997396,-284.0903250004991,29.811765562571104
275.327,503.4316538461529,-888.3589749998395,-331.76689999994164,-281.6993000001751,25.23393754831091
275.367,508.559858974352,-858.7668999999701,-346.23310000002994,-316.1655000001498,22.97956929462028
275.407,513.6880641025499,-851.7668999999416,-340.76689999994164,-310.6993000001751,19.715339342422954
275.447,518.8162692307593,-867.8344999998502,-347.0,-319.69930000008986,18.716668686387077
275.487,524.7333692307625,-853.6891999999891,-376.8344999999592,-343.3108000000109,21.101291295149277
275.527,530.887215384605,-818.2331000000299,-367.76689999997006,-342.06759999988014,22.400460169911344
275.567,537.8812384615325,-828.8795666661683,-373.233100000065,-388.8873333337667,19.759331113219925
275.607,545.0607256410257,-846.0,-375.85897499983946,-390.93240000023354,22.867312976157915
275.647,553.1316717948671,-837.7668999999132,-380.7668999999132,-402.3006999997396,22.776088098642315
275.687,561.1533799999859,-823.2331000000584,-382.0,-406.23310000005836,20.459217711047884
275.727,569.3367999999788,-835.0,-374.6427749995877,-410.0,20.668648230541333
275.767,578.4846692307532,-804.7668999999416,-370.0920749998978,-416.53379999988323,21.608574686590057
275.807,587.6931483375931,-792.9984250000296,-386.0,-408.6668999999956,19.18047967221405
275.847,595.9316717948648,-808.665500000164,-367.0,-416.4170749999426,22.441717025861777
275.887,604.1538999999993,-809.166025000012,-377.3331000000044,-439.66620000000876,22.73178037427539
275.927,613.3846692307505,-812.2522749995878,-347.8285500008665,-441.66620000008453,20.417210821463637
275.967,622.6154384615144,-772.0,-386.0,-459.9986000002536,20.92067667698008
276.007,631.9402307692126,-783.0006999997311,-366.66689999991036,-498.66689999991036,21.300557063365623
276.047,642.3163051281946,-746.1684749995255,-380.66620000012244,-518.3317000004286,17.607032545038518
276.087,653.3077461538321,-776.0,-383.3324000003586,-499.0,20.46130207329958
276.127,662.5385153846091,-766.6668999999388,-355.0,-508.3331000000612,20.32249073981361
276.167,671.5726974358871,-778.9146250007844,-350.5059499977141,-510.66689999991036,19.330956069744143
276.207,679.5555974358944,-814.3331000000612,-364.99930000018367,-530.0,18.153888079326713
276.247,686.2393461538446,-805.3331000000328,-357.6648000002624,-510.3337999999344,18.85752388533789
276.287,690.8000174999914,-804.3331000000612,-337.66620000012244,-505.6668999999388,15.286580421015902
276.327,693.2735102564086,-799.6668999999672,-320.9993000000984,-491.0,15.66764588836777
276.367,693.401697435899,-815.0,-318.66620000000876,-502.3331000000044,16.707590513684757
276.407,691.3504153846181,-826.665500000164,-322.0815250002542,-475.3337999999344,16.492563207820346
276.447,688.2478333333358,-777.3337999999912,-303.99930000001314,-442.3331000000044,15.603173143469606
276.487,683.4957025641012,-842.0,-315.5558666666861,-489.7786333333868,18.307960261745446
276.527,678.9965601023076,-835.5668999999075,-293.87412500034685,-451.00792500016183,18.237814359845295
276.567,673.4512461538561,-815.0,-287.48826666677604,-417.4096333335931,15.778770487002152
276.607,667.7478333333373,-824.5668999999928,-277.86620000001443,-390.7006999999783,17.877743182602867
276.647,662.1435538461623,-840.0748250000267,-266.1337999999287,-418.1337999999287,18.397637947067096
276.687,655.989707692311,-842.8662000000145,-268.56689999999276,-363.43310000000724,15.41146900715483
276.727,648.7811487179579,-847.1337999999287,-280.43310000003567,-373.00792500006236,18.591452409369513
276.767,640.5760205128228,-867.5668999999928,-269.86620000001443,-357.43310000000724,18.939842658254943
276.807,631.7922538461638,-856.5668999999805,-257.0,-329.13379999996096,17.630196402781603
276.847,621.9572051282345,-878.0,-261.43310000012093,-304.0,18.080449129836445
276.887,612.330715384634,-887.8662000001527,-273.56689999992363,-281.0,17.732405002914533
276.927,602.6082750000081,-879.175174999952,-281.0,-265.0,14.952155095381578
276.967,592.4443846153968,-892.7006999997226,-273.0,-270.13379999981504,15.521741815373668
277.007,582.8691769230801,-911.7006999998079,-276.5668999999359,-250.75792500011212,15.599775319427506
277.047,573.6384076923032,-917.3072250001693,-273.0,-250.59860000021385,16.61847020444534
277.087,564.4076384615585,-893.0,-265.7006999998078,-246.0,18.968848376497974
277.127,555.934994871812,-902.4331000000357,-284.70069999989306,-234.0,19.63233599670014
277.167,548.5136333333526,-896.5668999999359,-272.5668999999359,-236.7006999998078,20.86209338587391
277.207,542.1435538461652,-907.2993000001069,-281.0,-217.0079250000624,22.487049343604344
277.247,536.8354347826112,-910.4668999999463,-271.9337999998927,-200.06620000010727,21.01026512730965
277.287,531.7093717948767,-879.7491250002012,-306.46689999994635,-164.0,20.989816693896685
277.327,527.4649333333339,-928.5331000000954,-310.66550000047664,-197.13240000038132,19.779020824140815
277.367,523.3623692307768,-932.466899999933,-337.716025000184,-197.5993000002007,18.62161962532006
277.407,520.1948538461621,-928.0,-326.5331000000953,-166.93379999980934,17.941070364900256
277.447,517.1179307692365,-917.317074999883,-340.5331000000669,-168.0,17.254639205632145
277.487,514.0410076923108,-905.7108000000446,-348.42160000008914,-113.0,15.502911012191122
277.527,511.9649825000048,-917.3501749999498,-324.4668999999331,-126.7508749997491,16.643825785925742
277.567,508.9640846153852,-916.5795666665556,-338.37746666668596,-92.13240000005796,16.66873670744172
277.607,505.8871615384599,-937.8676000000735,-334.9677750000872,-67.43467500010556,15.009015038338031
277.647,502.810238461547,-944.599300000161,-330.7839749998525,-51.0,19.47761254353611
277.687,499.73331538462133,-920.5330999999968,-323.4669000000032,-67.06619999999359,19.177319218000203
277.727,496.7709282051334,-952.7317000007733,-430.4093750034525,-42.53310000011048,18.44486116465389
277.767,494.8598230769248,-929.0662000001906,-298.5331000000953,-32.86759999961868,19.292964646198975
277.807,493.83418205128294,-902.8675999997324,-282.5331000000669,-46.881525000518536,19.680097985910013
