,Resp_wave,ACCVert,ACCLat,ACCLong,Jerk
-13.0,516.3333333333334,-846.0,-569.0,241.00000000000045,11.292278191867176
-12.96,520.3999999999999,-843.9999999999991,-575.0000000000026,236.00000000000088,12.022209012716921
-12.92,524.4358974358973,-848.0000000000009,-561.7499999999983,240.99999999999866,10.24456219997137
-12.879999999999999,527.7692307692308,-853.9999999999982,-562.0000000000018,241.99999999999824,8.054489817276401
-12.84,529.8205128205128,-845.0000000000005,-552.0000000000009,246.0,11.3974876652842
-12.8,531.8717948717948,-848.0000000000009,-561.9999999999982,246.00000000000176,13.85363603639992
-12.76,533.0,-851.9999999999991,-562.9999999999995,242.99999999999955,10.235297592173584
-12.72,533.0,-858.0,-562.0,246.0,11.138664427581148
-12.68,532.4871794871794,-853.0000000000005,-563.7499999999992,246.0,8.36392637713578
-12.64,530.923076923077,-852.6666666666674,-563.3333333333326,238.0,8.877458348768423
-12.6,529.4358974358975,-844.666666666665,-559.3333333333326,247.3333333333349,12.948215464934895
-12.56,527.8205128205128,-849.0000000000026,-564.9999999999991,248.00000000000176,11.40185175418631
-12.52,525.7692307692307,-854.0,-566.0,242.0,10.754927675775619
-12.48,523.7179487179487,-849.0000000000005,-573.0,246.99999999999955,9.314430008719345
-12.44,521.0,-847.9999999999991,-564.0000000000009,242.00000000000176,8.950648257099457
-12.4,519.3076923076924,-850.0,-561.7500000000033,244.00000000000176,14.603860795523051
-12.36,516.8461538461538,-854.0,-577.0,238.0,12.641756673435207
-12.32,514.5500000000001,-849.9999999999982,-562.9999999999995,246.0,11.559996850596026
-12.28,512.5128205128206,-852.0000000000009,-560.0000000000009,242.00000000000176,10.883746205443025
-12.24,511.2307692307692,-846.0,-576.2500000000022,237.00000000000045,11.686773883541894
-12.2,509.41025641025635,-850.0,-562.0,246.0,15.614575679689903
-12.16,507.35897435897436,-849.0000000000005,-559.9999999999991,245.00000000000045,11.155726979342038
-12.120000000000001,506.1538461538462,-854.0000000000018,-565.5000000000016,242.00000000000176,12.629030579317055
-12.08,505.12820512820514,-852.0000000000009,-559.9999999999991,242.00000000000176,9.520187209178598
-12.04,504.1025641025641,-846.0,-569.0,242.0,10.7958086376576
-12.0,504.0,-846.9999999999995,-555.9999999999991,244.00000000000088,11.256940624022251
-11.96,502.10256410256414,-846.0,-552.0000000000026,240.00000000000088,13.87644747212217
-11.92,502.0,-846.9999999999995,-568.2500000000003,242.00000000000176,9.718829444923841
