,AU811,AU808,AU802,AU807,AU804,AU809,AU810,AU806,AU803,AU819,AU814,AU816,AU813,AU818,AU815,AU812,AU817,AU820
-11.72,495.0,471.0,496.0,513.4102564102565,467.7692307692308,481.3076923076924,499.58974358974365,493.0,500.0,560.7692307692305,482.6666666666667,508.0,487.0,520.2307692307692,555.230769230769,493.0,512.0,508.7435897435897
-11.68,495.2564102564103,471.0,496.0,511.7692307692308,468.0,478.2307692307692,497.7692307692308,493.1538461538462,500.94871794871796,570.0,483.0,507.2307692307692,486.1025641025641,523.3076923076923,561.3846153846155,492.94871794871796,511.1794871794872,512.8461538461539
-11.64,496.28205128205127,471.0,496.0,510.35897435897436,468.79999999999995,476.10256410256414,496.7435897435897,494.0,501.0,578.2051282051281,483.7368421052632,507.0,486.0,526.3846153846154,566.3589743589744,492.0,510.175,516.9487179487179
-11.6,497.0,471.0,496.0,509.3333333333333,469.8205128205128,474.05128205128204,495.71794871794873,493.79487179487177,501.0,586.4615384615386,484.7692307692308,506.1794871794872,486.0,529.4615384615385,570.4615384615386,492.0,510.0,521.5641025641025
-11.56,497.0,471.0,496.0,508.3076923076923,470.8461538461538,473.0,494.69230769230774,493.2307692307692,501.974358974359,595.5384615384615,485.775,506.0,486.0,532.025641025641,573.9230769230769,492.1025641025641,509.12820512820514,526.1538461538461
-11.52,497.35897435897436,471.12820512820514,496.0,507.28205128205127,472.7435897435898,471.97435897435895,493.6666666666667,494.2564102564103,501.05128205128204,602.7179487179486,487.58974358974365,506.0,486.0,533.5384615384615,577.6666666666666,493.12820512820514,508.1025641025641,530.8205128205128
-11.479,498.0,472.0,496.0,506.23076923076917,473.92307692307696,471.0,492.6153846153846,495.3076923076923,502.0,609.7692307692308,489.6923076923078,505.07692307692304,486.0,534.0,581.1538461538462,494.71794871794884,507.05128205128204,536.0769230769232
-11.439,498.0,472.0,496.4102564102564,505.20512820512823,474.0,470.8974358974359,492.0,496.0,501.87179487179486,614.7179487179487,491.7435897435897,505.0,485.9230769230769,533.3846153846154,584.2307692307693,498.6153846153845,507.0,541.2051282051283
-11.399000000000001,498.0,472.0,497.0,504.17948717948724,474.97435897435895,470.0,492.0,496.0,501.0,618.2051282051282,493.7948717948717,505.0,485.0,531.7179487179487,587.3076923076923,502.15384615384596,506.00000000000006,545.6666666666665
-11.359,498.0,472.0,497.0,504.0,476.0,470.0,492.0,496.0,500.8205128205128,618.7692307692307,497.6923076923077,505.0,484.87179487179486,529.6666666666666,588.0,507.79487179487177,504.974358974359,550.4615384615383
-11.318999999999999,498.51282051282055,472.0,497.475,503.1282051282051,476.02564102564105,470.0,491.55263157894734,496.0,500.0,616.9743589743589,500.8461538461539,504.99999999999994,484.0,527.6153846153845,587.1999999999999,514.9743589743591,504.05128205128204,554.8717948717949
-11.279,498.46153846153845,472.0,498.0,502.1025641025641,477.05128205128204,470.20512820512823,491.0,496.0,500.0,612.075,504.79999999999995,504.0,484.0,524.8461538461538,584.5384615384615,522.769230769231,504.9230769230769,558.1750000000001
-11.239,498.56410256410254,472.0,498.0,501.0769230769231,478.0769230769231,471.0,491.0,496.0,500.0,604.4615384615386,508.8974358974358,504.05128205128204,483.8,521.7692307692308,579.7692307692308,531.9999999999999,504.0,560.4871794871794
-11.199,499.0,471.64102564102564,498.53846153846155,501.94871794871796,479.1025641025641,471.25,491.0,496.0,500.0,595.230769230769,513.0,505.0,483.0,519.4615384615385,573.7692307692306,541.9487179487178,503.87179487179486,561.0
