,Time_1,Resp_wave,ACCVert,ACCLat,ACCLong,Jerk
-14.16,-14.16,512.5330946291323,-874.0,-327.1560000004554,139.76150000039846,12.623262562837771
-14.12,-14.12,510.4831794871458,-875.4219999995076,-341.8439999990153,150.84399999901527,11.639236254616318
-14.08,-14.08,507.64784615383155,-866.8439999984895,-354.1560000015105,155.57800000075525,11.494885871858163
-14.04,-14.04,504.5709230769046,-870.5780000001105,-344.1560000002209,156.0,11.146720350026628
-14.0,-14.0,502.32933333330845,-866.0,-341.4219999996267,172.8439999992533,10.410418279714525
-13.96,-13.96,500.2780512820138,-891.5780000006363,-334.48849999888654,150.8439999987275,10.00174249313688
-13.92,-13.92,499.1133846153802,-889.8439999998252,-324.84399999982526,125.42199999991261,10.364987745954638
-13.879999999999999,-13.879999999999999,498.09007672633936,-889.0,-354.04399999989704,109.47800000005147,10.294124141989931
-13.84,-13.84,497.0646666666575,-863.2746666669952,-362.3626666665024,109.0,10.615416663103257
-13.8,-13.8,497.0,-878.0,-352.97066666728256,110.97066666728256,10.970974568457835
-13.76,-13.76,497.0,-889.0,-351.0,99.85850000046094,11.733837922357724
-13.72,-13.72,497.0,-880.6085000006581,-339.5219999991225,90.0,11.825596300249993
-13.68,-13.68,498.0367692307865,-892.0439999995347,-344.9120000009306,93.04399999953468,12.514538557870495
-13.64,-13.64,501.11369230772846,-897.0,-334.5865000008672,95.04399999900888,12.75966902666343
-13.6,-13.6,504.31687979548644,-883.4780000007603,-341.2925000028509,90.95600000152048,12.463174816225626
-13.56,-13.56,509.519692307797,-885.6219999991815,-340.243999998363,90.0,12.374016502153278
-13.52,-13.52,515.7857948718123,-885.3780000001736,-324.0,99.03950000047763,11.744768358049757
-13.48,-13.48,522.8273846154373,-886.2439999991268,-339.2104999987994,101.0,10.794292330495418
-13.44,-13.44,529.4718461539823,-878.0,-328.7560000014025,102.62199999929874,10.377531827651541
-13.4,-13.4,538.5134358975719,-881.0,-328.0,117.0,10.519660299856351
-13.36,-13.36,547.1482051282494,-888.6219999996806,-332.0,115.86599999904196,9.90830311858808
-13.32,-13.32,557.4046153847227,-886.2439999988355,-333.0335000004367,98.45449999723432,9.9883447852632
-13.28,-13.28,567.3887979541049,-885.0,-342.1340000025408,114.62199999915308,10.140691204868038
-13.24,-13.24,576.3134358975811,-899.8879999993605,-322.5560000003197,121.72199999984014,10.861572796110169
-13.2,-13.2,584.2037435898636,-880.5134999995444,-323.1659999992189,94.27800000026038,11.05864314385994
-13.16,-13.16,590.9917000000332,-855.2780000005233,-321.4439999989535,79.44399999895346,11.862040663360803
-13.120000000000001,-13.120000000000001,596.7023076923496,-893.0,-337.0985000045205,67.72199999921382,12.917228180463795
-13.08,-13.08,601.4644102564691,-901.7219999998587,-357.5560000002827,56.263499999752625,13.101961554304838
-13.04,-13.04,605.1752307692665,-893.278000000406,-331.72199999959395,89.44399999918794,13.291825357950895
-13.0,-13.0,607.4173846153886,-880.0414999994983,-318.55600000133785,152.0,14.982893967916256
-12.96,-12.96,607.1162148337436,-890.8219999992727,-312.0,174.3455000034542,16.050223663564502
-12.92,-12.92,603.6694871794299,-872.2604999997734,-332.0,175.0955000003913,16.29300048821651
-12.879999999999999,-12.879999999999999,598.0495384614318,-878.0,-323.6439999993059,126.55750000303675,18.655714471891894
-12.84,-12.84,591.3783076922235,-896.5253333322771,-315.76266666613856,159.52533333227714,18.718637342197788
-12.8,-12.8,584.1988205127711,-893.8586666656596,-313.5706666671702,146.25666666226087,17.093959450211184
-12.76,-12.76,577.0193333332396,-877.8115000007261,-321.82199999958505,116.28799999834023,15.57846722637634
-12.72,-12.72,569.8398461537083,-885.0,-333.43849999953875,120.28799999894572,14.94903406244962
-12.68,-12.68,562.6714578004529,-870.0,-338.51049999854735,176.1335000003962,13.403758325483416
-12.64,-12.64,556.7848717948528,-882.0780000005865,-324.0,148.76599999824046,12.607520608052875
-12.6,-12.6,551.656666666616,-895.2340000011361,-355.0,125.31200000151482,12.428414825153018
-12.56,-12.56,547.2227692307035,-885.0,-361.15600000040916,132.07800000020458,12.326675772157952
-12.52,-12.52,542.4902499999074,-870.1560000009385,-362.84399999906145,116.76599999859219,12.18654965348064
-12.48,-12.48,538.1202051281776,-876.9219999992679,-345.9219999992678,114.07800000073217,11.47793596265073
