,Time_1,HR1bt,Resp_wave,Jerk,HR10bt,HR30bt,Resp_BPM,sResp_BPM,ACCVert,ACCLat,ACCLong
433.942,446.6021360544217,57.69550524358007,353.19661538466363,10.067819082763684,64.07352144063621,58.77696702790611,5.001667222407809,17.23611309147044,-905.7219999990405,-59.0,227.44399999808095
433.982,446.64213605442177,57.45681350345987,358.9587179487641,10.011322370448589,64.04595213475748,58.77696702790611,5.001667222407809,17.227207004175682,-913.0,-62.27800000043519,229.72199999956482
434.022,446.68213605442173,57.21812176334001,364.0869230770184,12.537224016242098,64.0183828288788,58.77696702790611,5.001667222407809,17.218300916880935,-919.0414999999199,-68.72199999989313,227.27800000010686
434.062,446.7221360544218,56.979430023219805,369.65815384616576,12.57986299542753,63.990813523000064,58.77696702790611,5.001667222407809,17.209394829586174,-911.278000000492,-66.55600000098407,232.8340000014761
434.102,446.7621360544218,56.74073828309994,375.34333333335985,10.289148290181613,63.96324421712137,58.77696702790611,5.001667222407809,17.20048874229143,-918.0145000029513,-67.4439999978536,226.7219999989268
434.142,446.8021360544218,56.502046542979734,380.95826086969674,10.87151333869275,63.93567491124264,58.77696702790611,5.001667222407809,17.19158265499667,-904.8219999987235,-70.17800000127647,226.35600000255295
434.182,446.84213605442176,56.26335480285953,386.5869230769936,13.133431470507862,63.90810560536391,58.77696702790611,5.001667222407809,17.18267656770191,-905.0,-70.7120000016953,237.76266666610158
434.222,446.8821360544217,56.02466306273966,391.71512820510605,11.570817173317842,63.880536299485215,58.77696702790611,5.001667222407809,17.173770480407164,-901.858666666057,-61.748666667200034,238.0
434.262,446.9221360544218,55.78597132261946,396.84333333335843,10.90363348559236,63.852966993606486,58.77696702790611,5.001667222407809,17.164864393112403,-906.465999998558,-55.0,220.01049999867817
434.302,446.96213605442176,55.54727958249926,401.97153846157875,12.067677338155912,63.82539768772775,58.77696702790611,5.001667222407809,17.155958305817645,-908.1780000010732,-66.0,211.0
434.342,447.0021360544218,55.72689805852856,406.4797948718686,13.006972047631152,63.785544504799155,58.801829581371614,5.001667222407809,17.147052218522898,-916.28799999785,-61.86649999959687,225.8219999994625
434.382,447.04213605442175,56.18025730053967,411.2279487180441,11.280154964495424,63.73765279499966,58.8429621042693,5.001667222407809,17.13814613122814,-905.0,-56.17800000022055,230.0
434.422,447.08213605442177,56.63361654255078,415.68492307693106,9.865541651998944,63.68976108520016,58.88409462716699,5.001667222407809,17.12924004393338,-897.0,-64.1780000006512,238.0
434.462,447.1221360544218,57.08697578456125,419.0852685421878,11.521580139768455,63.64186937540073,58.92522715006462,5.001667222407809,17.120333956638632,-914.6134999991788,-70.9219999995307,250.0
434.502,447.1621360544217,57.540335026572365,422.1058500000408,12.591373238627035,63.59397766560123,58.966359672962305,5.001667222407809,17.111427869343874,-909.0779999996521,-66.0,241.84400000069576
434.542,447.20213605442177,57.99369426858283,425.8797948718264,13.051151109230199,63.5460859558018,59.00749219585994,5.001667222407809,17.102521782049127,-907.9219999994739,-67.07800000052615,217.96450000144688
434.582,447.2421360544218,58.44705351059394,428.4911794872306,13.536793364581523,63.498194246002306,59.04862471875763,5.001667222407809,17.09361569475437,-910.9219999993816,-66.15600000123692,209.23400000185538
434.622,447.28213605442187,58.90041275260505,430.54246153850227,14.2953872440673,63.450302536202805,59.08975724165531,5.001667222407809,17.084709607459608,-893.9219999993602,-64.69850000367902,222.0
434.662,447.32213605442166,59.35377199461552,432.59374358974725,12.279989672572562,63.402410826403376,59.13088976455295,5.001667222407809,17.07580352016486,-905.0,-55.07799999976581,238.0
434.702,447.38553741496594,59.80713123662663,433.82251282053596,9.780129755143362,63.354519116603875,59.17202228745064,5.001667222407809,17.066897432870103,-906.0780000006966,-43.0,231.84399999860665
434.742,447.425537414966,60.26049047863774,434.0,11.165543699968218,63.30662740680438,59.21315481034832,5.001667222407809,17.057991345575342,-908.8439999984221,-57.07800000078899,230.0
434.782,447.46553741496587,60.71384972064821,434.87156010231337,11.185267371404915,63.25873569700495,59.254287333245955,5.001667222407809,17.0490852582806,-918.2115000017786,-71.02199999898365,224.0439999979673
434.822,447.505537414966,61.16720896265932,435.0,12.313479456734616,63.21084398720545,59.295419856143646,5.001667222407809,17.040179170985837,-919.9175000023192,-59.0384999989177,226.0
434.862,447.545537414966,61.620568204670434,435.0,12.151800917160012,63.16295227740595,59.33655237904133,5.001667222407809,17.03127308369108,-904.0219999997795,-70.33249999917292,223.9560000004411
434.902,447.58553741496604,62.0739274466809,435.94815384616174,11.927161256774381,63.11506056760652,59.37768490193896,5.001667222407809,17.022366996396332,-908.9120000027413,-66.04399999862939,230.0
434.942,447.625537414966,62.527286688692016,435.0262051282143,11.303604860216476,63.067168857807026,59.418817424836654,5.001667222407809,17.01346090910157,-911.9779999998326,-57.977999999832655,230.0
434.982,447.66553741496597,62.980645930703126,435.99943589745624,9.942066459120365,63.019277148007525,59.45994994773434,5.001667222407809,17.004554821806813,-912.956000001578,-65.97800000078898,233.95600000157796
435.022,447.705537414966,63.43400517271359,436.0,10.972411366930958,62.971385438208095,59.50108247063197,5.001667222407809,16.995648734512066,-909.0,-64.28849999941508,223.95600000066847
435.062,447.745537414966,63.8873644147247,436.0,12.100039549626334,62.923493728408594,59.54221499352966,5.001667222407809,16.98674264721731,-903.1219999993815,-62.7134999989177,218.9574999976808
435.102,447.785537414966,64.34072365673518,436.1439000000599,11.243540806464512,62.875602018609165,59.58334751642729,5.001667222407809,16.97783655992256,-906.7560000013478,-57.878000000673936,220.87800000067392
435.142,447.82553741496594,64.79408289874628,438.0,11.053525945729906,62.827710308809664,59.62448003932498,5.001667222407809,16.9689304726278,-909.0,-54.67466666619009,217.87799999982127
435.182,447.86553741496596,65.2474421407574,438.0994358974326,10.79074081324049,62.77981859901017,59.66561256222267,5.001667222407809,16.960024385333043,-901.4879999970715,-65.78650000128125,218.36599999780356
435.222,447.905537414966,65.61954810805767,439.12507692309714,11.399236547893686,62.73585476243396,59.70273090361408,5.001667222407809,16.951118298038296,-905.0,-53.73133333648039,225.60999999794757
435.262,447.94553741496594,65.40662383472876,440.1507179487211,12.131956912623757,62.72017193514798,59.7109468090005,5.001667222407809,16.942212210743534,-905.0,-62.71349999852218,223.87800000084445
435.302,447.985537414966,65.19369956139985,441.17635897435326,11.281468147296179,62.704489107861995,59.719162714386904,5.001667222407809,16.933306123448777,-900.3660000000245,-61.158499999993865,231.75599999998363
435.342,448.0255374149659,64.98077528807126,442.4029667519537,10.095513133796278,62.68880628057604,59.727378619773305,5.001667222407809,16.92440003615403,-905.0,-62.0,230.0
435.382,448.065537414966,64.76785101474236,444.22507692309216,11.63184167215226,62.67312345329005,59.73559452515972,5.001667222407809,16.91549394885927,-915.4439999984475,-53.139500002134696,228.44399999844748
435.422,448.10553741496597,64.55492674141345,445.2507179487278,13.703328468906582,62.657440626004075,59.743810430546134,5.001667222407809,16.90658786156451,-907.2219999992678,-61.11049999798661,218.88849999871874
435.462,448.145537414966,64.34200246808486,446.27635897438523,12.428638960156391,62.64175779871811,59.752026335932534,5.001667222407809,16.897681774269763,-903.7780000002774,-54.36049999923716,213.7780000002774
435.502,448.185537414966,64.12907819475596,447.3020000000092,10.995812682029092,62.62607497143213,59.76024224131895,5.001667222407809,16.888775686975006,-909.0,-69.77799999998045,233.77799999998044
435.542,448.2255374149659,63.91615392142736,448.0,11.907944190904342,62.61039214414617,59.76845814670535,5.001667222407809,16.87986959968026,-909.77800000089,-59.583500000667456,224.4439999982201
435.582,448.265537414966,63.70322964809846,448.70656410260455,10.80548598827695,62.59470931686019,59.77667405209176,5.001667222407809,16.8709635123855,-911.2219999999627,-65.11049999989746,230.4439999999254
435.622,448.305537414966,63.490305374769555,450.37892307692624,10.510784499628803,62.579026489574204,59.78488995747817,5.001667222407809,16.86205742509074,-917.0,-65.66599999865622,230.0
435.662,448.3455374149659,63.27738110144095,451.40352941175667,12.095980669321584,62.56334366228825,59.79310586286457,5.001667222407809,16.853151337795993,-905.0,-76.74341463713009,229.05756097784757
435.702,448.38553741496594,63.06445682811205,452.42764102564666,10.802149076212695,62.54766083500226,59.801321768250986,5.001667222407809,16.844245250501235,-905.6780000002774,-66.0,218.0
435.742,448.425537414966,62.85153255478315,453.0,9.906502528658766,62.53197800771628,59.8095376736374,5.001667222407809,16.835339163206474,-906.0340000028062,-59.0,223.6780000009354
435.782,448.4655374149659,62.63860828145455,453.90656410259027,10.577753438013593,62.51629518043032,59.8177535790238,5.001667222407809,16.82643307591173,-902.3219999999741,-51.0,220.67800000002592
435.822,448.505537414966,62.42568400812565,455.0,12.990137256797178,62.50061235314434,59.82596948441021,5.001667222407809,16.81752698861697,-912.3560000016917,-65.11450000232603,229.35600000169165
435.862,448.545537414966,62.21275973479675,455.5045641025685,14.227617247750663,62.484929525858355,59.83418538979662,5.001667222407809,16.80862090132221,-918.8134999992161,-49.54250000167972,227.96599999865623
